"Lithium","Boron ","Phosphorus","Tg"
0.5,0.5,0,693
0,1,0,533
0.02,0.98,0,528
0.04,0.96,0,543
0.06,0.94,0,558
0.08,0.92,0,598
0.1,0.9,0,618
0.12,0.88,0,638
0.14,0.86,0,673
0.16,0.84,0,693
0.18,0.82,0,723
0.2,0.8,0,748
0.22,0.78,0,753
0.24,0.76,0,758
0.26,0.74,0,763
0.28,0.72,0,763
0.1,0.9,0,634
0.15,0.85,0,699
0.2,0.8,0,752
0.25,0.75,0,770
0.3,0.7,0,770
0.35,0.65,0,757
0.48,0.52,0,699
0.6,0,0.4,590
0.66,0,0.34,592
0,0,1,663
0.05,0,0.95,569
0.1,0,0.9,543
0.15,0,0.85,532
0.2,0,0.8,521
0.25,0,0.75,535
0.3,0,0.7,555
0.35,0,0.65,572
0.4,0,0.6,580
0.5,0,0.5,600
0.55,0,0.45,590
0.625,0,0.375,592
0.3,0.35,0.35,730
0.35,0.325,0.325,717
0.4,0.3,0.3,702
0.45,0.275,0.275,692
0.5,0.25,0.25,695
0.5,0.02,0.48,600
0.5,0.05,0.45,612
0.5,0.1,0.4,633
0.5,0.15,0.35,655
0.5,0.2,0.3,680
0.5,0.25,0.25,665
0.33,0.603,0.067,601
0.33,0.536,0.134,660
0.33,0.469,0.201,690
0.33,0.402,0.268,718
0.33,0.335,0.335,713
0.33,0.268,0.402,705
0.33,0.134,0.536,715
0.25,0.675,0.075,628
0.25,0.6,0.15,660
0.25,0.525,0.225,698
0.25,0.45,0.3,735
0.25,0.375,0.375,723
0.25,0.3,0.45,719
0.25,0.225,0.525,707
0.25,0.15,0.6,704
0.25,0.075,0.675,726
0.6,0.36,0.04,618
0.6,0.32,0.08,648
